From_Port_Code,To_Port_Code
THSSP,VNHPH
CNSHK,CNNSA
CNNSA,THSSP
VNHPH,THSSW
THSSW,THSSP
CNSHK,CNNSA
CNNSA,THSSP
THSSW,THSSP
THSSP,VNHPH
THSSP,CNSHK
CNSHK,CNNSA
THSSW,THSSP
THSSP,VNHPH
CNSHK,CNNSA
CNNSA,THSSP
THSSW,THSSP
THSSP,VNHPH
THSSP,CNSHK
CNSHK,CNNSA
THSSW,THSSP
THSSP,VNHPH
THSSP,CNSHK
CNSHK,CNNSA
VNCLI,PHMNL
KRPUS,CNTAO
CNTAO,CNSHA
PHMNL,THLCH
THLCH,VNCLI
KRPUS,CNSHA
CNSHA,CNTAO
THLCH,VNCLI
VNCLI,PHMNL
KRPUS,CNTAO
CNTAO,CNSHA
THLCH,VNCLI
VNCLI,PHMNL
KRPUS,CNTAO
CNTAO,CNSHA
THLCH,VNCLI
VNCLI,PHMNL
CNTAO,CNSHA
CNSHA,KRPUS
THLCH,VNCLI
VNCLI,PHMNL
CNSHA,KRPUS
KRPUS,CNTAO
INMUN,PKKHI
PKKHI,MYWSP
MYWSP,INNSA
MYWSP,KRPUS
KRPUS,CNSHA
CNSHA,CNNBG
CNNBG,CNSHK
SGSIN,INKAT
THLCH,SGSIN
SGSIN,MYWSP
INKAT,MYWSP
MYWSP,SGSIN
THLCH,SGSIN
SGSIN,MYWSP
SGSIN,INKAT
THLCH,SGSIN
SGSIN,MYWSP
SGSIN,INKAT
THLCH,SGSIN
SGSIN,MYWSP
KHKOS,CNSHA
CNSHA,CNSHK
KHKOS,CNNBG
CNNBG,CNSHA
CNSHA,CNSHK
THPAT,THLCH
CNSHA,CNSHK
CNSHK,KHKOS
KHKOS,CNNBG
THPAT,THLCH
CNNBG,CNSHA
CNSHA,CNSHK
CNSHK,KHKOS
THPAT,THLCH
